code,title_ko,level,parent_code,name_en
2496,안마사,unit,249,Massage Therapists
2497,환자안전 관리사,unit,249,Patient Safety Specialists
25,사회복지·종교 전문가 및 관련직,middle,2,
251,보육교사,minor,25,
2510,보육교사,unit,251,Child Care Teachers
252,시민사회 활동가,minor,25,
2520,시민사회 활동가,unit,252,Civil Society Activists
253,사회복지 전문가 및 관련 종사자,minor,25,
2531,사회복지사,unit,253,Social Welfare Specialists
2532,직업 관련 상담사,unit,253,Vocational-related Counselors
2533,상담 전문가,unit,253,Counselling Specialists
2534,청소년 지도사,unit,253,Juvenile Counselors
2539,기타 사회복지 전문가 및 관련 종사원,unit,253,Other Social Welfare Professionals and Workers
254,종교 관련 종사자,minor,25,
2541,성직자,unit,254,Clergy Members
2549,기타 종교 관련 종사원,unit,254,Other Religion-related Workers
26,교육 전문가 및 관련직,middle,2,
261,대학교수 및 강사,minor,26,
2611,대학교수,unit,261,University Professors
2612,대학 강사,unit,261,University Instructors
262,학교 교사,minor,26,
2621,중·고등학교 교사,unit,262,Middle and High School Teachers
2622,초등학교 교사,unit,262,Elementary School Teachers
2623,특수교육 교사,unit,262,Special Education Teachers
263,유치원 교사,minor,26,
2630,유치원 교사,unit,263,Kindergarten Teachers
264,문리·기술 및 예능 강사,minor,26,
2641,외국어 강사,unit,264,Foreign Language Instructors
2642,문리강사,unit,264,Liberal Arts Instructors
2643,정보통신기술 강사,unit,264,Information and Communication Technologies Instructors
2644,간호조무 및 요양보호 강사,unit,264,Nursing Assistant and Licensed Caregiver Instructors
2645,자동차 운전 강사,unit,264,Driving Instructors
2646,기술 및 기능계 강사,unit,264,Vocational and Polytechnic Skills Instructors
2647,예능 강사,unit,264,Arts Instructors
2648,학습·교구 관련 방문강사,unit,264,Educational Teaching Aid-related Visiting Professors
2649,기타 문리·기술 및 예능 강사,unit,264,"Other Liberal Arts, Technical and Arts Instructors"
269,기타 교육 전문가,minor,26,
2691,장학관·연구관 및 교육 관련 전문가,unit,269,"School Supervisors, Educational Research Specialists and Related Professionals"
2692,대학 교육 조교,unit,269,University Teaching Assistants
2699,기타 교사,unit,269,Other Teachers and Instructors
27,법률 및 행정 전문직,middle,2,
271,법률 전문가,minor,27,
2711,판사 및 검사,unit,271,Judges and Public Prosecutors
2712,변호사,unit,271,Attorneys-at-law
2713,법무사 및 집행관,unit,271,Jurists and Bailiffs
2714,변리사,unit,271,Patents Attorneys
2719,기타 법률 전문가,unit,271,Other Legal Professionals
272,정부 행정 전문가 및 관련 종사자,minor,27,
2721,정부 행정 전문가,unit,272,Government Administration Specialists
2722,행정사,unit,272,Administrative Agents
28,경영·금융 전문가 및 관련직,middle,2,
281,인사 및 경영 전문가,minor,28,
2811,인사 및 노사 관련 전문가,unit,281,Human Resources (HR) and Labor Relations Professionals
2812,회계사,unit,281,Accountants
2813,세무사,unit,281,Tax Accountants
2814,관세사,unit,281,Customs Attorneys
2815,경영 및 진단 전문가,unit,281,Business Consultants and Specialists
282,금융 및 보험 전문가,minor,28,
2821,투자 및 신용 분석가,unit,282,Financial Investment and Credit Analysts
2822,자산 운용가,unit,282,Fund Managers
2823,보험 및 금융 상품 개발자,unit,282,Insurance and Financial Instruments Developers
2824,증권 및 외환 딜러,unit,282,Stock and Foreign Exchange Dealers
2825,손해 사정사,unit,282,Insurance Claims Assessors
2829,기타 금융 및 보험 관련 전문가,unit,282,Other Finance and Insurance Professionals
283,상품 기획·홍보 및 조사 전문가,minor,28,
2831,상품 기획 전문가,unit,283,Product Planning Specialists
2832,여행 상품 개발자,unit,283,Travel Service Developers
2833,광고 및 홍보 전문가,unit,283,Advertising and Public Relations Specialists
2834,조사 전문가,unit,283,Survey Specialists
2835,행사·전시 및 회의 기획자,unit,283,"Event, Exhibition, and Conference Planners"
284,감정·기술 영업 및 중개 관련 종사자,minor,28,
2841,감정 관련 전문가,unit,284,Appraisers and Related Professionals
2842,해외 영업원,unit,284,Overseas Sales Representatives
2843,기술 영업원,unit,284,Technical Sales Representatives
2844,상품 중개인 및 경매사,unit,284,Wholesale Brokers and Auctioneers
2845,부동산 컨설턴트 및 중개사,unit,284,Real Estate Consultants and Estate Agents
2849,기타 기술 영업 및 중개 관련 종사원,unit,284,"Other Technical Sales Representatives, Brokers, and Related Workers"
29,문화·예술·스포츠·기타 전문가 및 관련직,middle,2,
291,작가 및 언론 관련 전문가,minor,29,
2911,작가,unit,291,Writers
2912,출판물 전문가,unit,291,Publishing Professionals
2913,기자 및 언론 관련 전문가,unit,291,Journalists and Journalism-related Professionals
2914,번역가 및 통역가,unit,291,Translators and Interpreters
292,학예사·사서 및 기록물 관리사,minor,29,
2921,학예사 및 문화재 보존원,unit,292,Curators and Cultural Assets Preservation Workers and Conservators
2922,사서 및 기록물 관리사,unit,292,Librarians and Archivists
293,연극·영화 및 영상 전문가,minor,29,
2931,감독 및 기술 감독,unit,293,Directors and Technical Directors
2932,배우 및 모델,unit,293,Actors and Models
2933,아나운서 및 리포터,unit,293,Announcers and Reporters
2934,촬영기사,unit,293,Cinematographers
2935,음향 및 녹음 기사,unit,293,Sound Equipment Engineers
2936,영상·녹화 및 편집 기사,unit,293,Video Recording and Editing Engineers
2937,조명기사 및 영사기사,unit,293,Lighting Technicians and Cinema Projectionists
